,Unnamed: 0,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start,fname
50,50,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d12m14.4s,14h11m22.008s,6,1.0737418239999998,58702.188784722224,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_16311_3C295_0015.gpuspec.0002.fil
51,51,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C147,50d51m06.48s,5h42m36s,6,1.073741823999999,58921.72454861111,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o041424344454647_guppi_58921_62601_3C147_0124.rawspec.0002.fil
52,52,0.0,1,11251.28173828125,-0.3662109375,,20,,32,28672,1,,PSR_B0950+08,4d29m24.72s,11h13m30.288s,6,0.0003495253333333333,58616.05766203704,0.0,spliced_blc404142434445464750515253545556576061o263o4o5o6o7_guppi_58616_04982_PSR_B0950+08_0033.gpuspec.0001.fil
53,53,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,3670016,1,,PSR_B0950+08,4d29m24.72s,11h13m30.288s,6,1.0737418239999998,58616.05766203704,0.0,spliced_blc404142434445464750515253545556576061o263o4o5o6o7_guppi_58616_04982_PSR_B0950+08_0033.gpuspec.0002.fil
54,54,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,28672,1,,PSR_B0950+08,4d29m24.72s,11h13m30.288s,6,0.0003495253333333333,58616.05766203704,0.0,spliced_blc404142434445464750515253545556576061o263o4o5o6o7_guppi_58616_04982_PSR_B0950+08_0033.gpuspec.8.0001.fil
55,55,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,31d30m32.4s,13h31m08.208s,6,18.253611008,58733.95861111111,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_82824_3C286_0130.gpuspec.0000.fil
56,56,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,50d51m07.2s,5h42m36.096s,6,18.253611008,58806.08013888889,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58806_06924_3C147_0009.gpuspec.0000.fil
57,57,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,3C147,50d51m07.2s,5h42m36.096s,6,1.0737418239999998,58806.08013888889,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58806_06924_3C147_0009.gpuspec.0002.fil
58,58,0.0,1,3151.4648423530157,-2.7939677238464355e-06,,20,,32,536870912,1,,3C295,52d11m38.76s,14h11m19.104s,6,18.253611008,58616.44885416666,0.0,spliced_blc4041424344454647_guppi_58616_38781_3C295_0139.gpuspec.0000.fil
59,59,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,50d51m07.2s,5h42m36.096s,6,0.0003495253333333333,58806.08013888889,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58806_06924_3C147_0009.gpuspec.8.0001.fil
60,60,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d10m23.16s,14h11m10.2s,6,0.0003495253333333333,58642.30260416668,0.0,spliced_blc30313233343536o7o0414243444546o7o0515253545556o7o061626364656667_guppi_58642_26145_3C295_0089.gpuspec.0001.fil
61,61,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d10m16.68s,14h11m18.216s,6,18.253611008,58667.3515625,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o0717273747577_guppi_58667_30375_3C295_0043.gpuspec.0000.fil
62,62,0.0,1,3151.463413238525,-0.00286102294921875,,20,,32,524288,1,,3C295,52d11m38.76s,14h11m19.104s,6,1.0737418239999998,58616.44885416666,0.0,spliced_blc4041424344454647_guppi_58616_38781_3C295_0139.gpuspec.0002.fil
63,63,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,31d30m25.2s,13h31m08.664s,6,18.253611008,58734.93311342593,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_80621_3C286_0137.gpuspec.0000.fil
64,64,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,31d30m32.4s,13h31m08.208s,6,0.0003495253333333333,58733.95861111111,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_82824_3C286_0130.gpuspec.0001.fil
65,65,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d30m32.4s,13h31m08.208s,6,1.0737418239999998,58733.95861111111,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_82824_3C286_0130.gpuspec.0002.fil
66,66,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,50d49m19.92s,5h42m48.984s,6,18.253611007999986,58921.723055555565,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o0414244454647_guppi_58921_62472_3C147_0123.rawspec.0000.fil
67,67,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d12m28.08s,14h11m23.664s,6,18.253611008,58702.20313657407,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_17551_3C295_0022.gpuspec.0000.fil
68,68,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,18.253611008,58570.73842592593,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58570_63800_PSR_B0355+54_0028.gpuspec.0000.fil
69,69,0.0,1,3151.4648423530157,-2.7939677238464355e-06,,20,,32,536870912,1,,3C295,53d09m56.88s,14h11m08.544s,6,18.253611008,58616.45045138889,0.0,spliced_blc4041424344454647_guppi_58616_38919_3C295_0140.gpuspec.0000.fil
70,70,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d10m16.68s,14h11m18.216s,6,0.0003495253333333333,58667.3515625,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o0717273747577_guppi_58667_30375_3C295_0043.gpuspec.0001.fil
71,71,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d10m16.68s,14h11m18.216s,6,1.0737418239999998,58667.3515625,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o0717273747577_guppi_58667_30375_3C295_0043.gpuspec.0002.fil
72,72,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,3C295,53d09m56.88s,14h11m08.544s,6,0.0003495253333333333,58616.45045138889,0.0,spliced_blc4041424344454647_guppi_58616_38919_3C295_0140.gpuspec.0001.fil
