,Unnamed: 0,Unnamed: 0.1,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start,fname
144,144,144,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,0.0003495253333333333,58733.96974537037,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_83786_PSR_B2021+51_0137.gpuspec.0001.fil
148,148,148,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,0.0003495253333333333,58733.96974537037,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_83786_PSR_B2021+51_0137.gpuspec.8.0001.fil
595,595,595,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B1133+16,15d51m04.68s,11h36m03.144s,6,18.253611008,58704.97912037037,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58704_84596_PSR_B1133+16_0010.gpuspec.0000.fil
600,600,600,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,PSR_B1133+16,15d51m04.68s,11h36m03.144s,6,0.0003495253333333333,58704.97912037037,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58704_84596_PSR_B1133+16_0010.gpuspec.0001.fil
604,604,604,0.0,1,8438.96484375,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B1133+16,15d51m04.68s,11h36m03.144s,6,0.0003495253333333333,58704.97912037037,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58704_84596_PSR_B1133+16_0010.gpuspec.8.0001.fil
601,601,601,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,PSR_B1133+16,15d51m04.68s,11h36m03.144s,6,1.0737418239999998,58704.97912037037,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58704_84596_PSR_B1133+16_0010.gpuspec.0002.fil
390,390,390,0.0,1,3151.28173828125,-0.3662109375,0.0,10,0.0,8,4096,1,,PSR_B0355+54,54d13m15.24s,3h58m53.832s,6,0.0003495253333333333,58703.4831712963,0.0,spliced_blc0001020304050607_guppi_58703_41746_PSR_B0355+54_0008.gpuspec.8.0001.fil
372,372,372,0.0,1,3151.4648423530157,-2.7939677238464355e-06,,20,,32,536870912,1,,PSR_B0355+54,54d13m15.24s,3h58m53.832s,6,18.253611008,58703.4831712963,0.0,spliced_blc0001020304050607_guppi_58703_41746_PSR_B0355+54_0008.gpuspec.0000.fil
384,384,384,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,PSR_B0355+54,54d13m15.24s,3h58m53.832s,6,0.0003495253333333333,58703.4831712963,0.0,spliced_blc0001020304050607_guppi_58703_41746_PSR_B0355+54_0008.gpuspec.0001.fil
387,387,387,0.0,1,3151.463413238525,-0.00286102294921875,,20,,32,524288,1,,PSR_B0355+54,54d13m15.24s,3h58m53.832s,6,1.0737418239999998,58703.4831712963,0.0,spliced_blc0001020304050607_guppi_58703_41746_PSR_B0355+54_0008.gpuspec.0002.fil
