,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start
123,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,50d48m55.44s,5h42m30.264s,6,18.253611008,58595.17549768519,0.0
124,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,50d48m55.44s,5h42m30.264s,6,1.0737418239999998,58595.17549768519,0.0
125,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,PSR_B0355+54,54d13m10.2s,3h58m53.664s,6,0.0003495253333333333,58806.08243055556,0.0
126,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,50d48m55.44s,5h42m30.264s,6,0.0003495253333333333,58595.17549768519,0.0
127,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d11m01.32s,14h11m22.296s,6,18.253611007999982,58921.33561342592,0.0
128,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d17m26.88s,14h11m17.472s,6,18.253611008,58702.25212962963,0.0
129,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C295,53d11m01.32s,14h11m22.296s,6,0.000349525333333333,58921.33561342592,0.0
130,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d17m26.88s,14h11m17.472s,6,0.0003495253333333333,58702.25212962963,0.0
131,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d11m01.32s,14h11m22.296s,6,1.073741823999999,58921.33561342592,0.0
132,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,49d51m06.12s,5h42m36.048s,6,18.253611008,58692.78665509259,0.0
133,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B0950+08,7d55m35.4s,9h53m09.216s,6,18.253611008,58595.178773148145,0.0
134,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C147,49d51m06.12s,5h42m36.048s,6,1.0737418239999998,58692.78665509259,0.0
135,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C286,31d29m17.88s,13h31m17.088s,6,18.253611008,58616.020162037035,0.0
136,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,50d51m07.2s,5h42m36.048s,6,18.253611008,58779.16150462963,0.0
137,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,50d51m07.2s,5h42m36.048s,6,1.0737418239999998,58779.16150462963,0.0
138,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,3C147,49d51m06.12s,5h42m36.048s,6,0.0003495253333333333,58692.78665509259,0.0
139,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,50d51m07.2s,5h42m36.048s,6,0.0003495253333333333,58779.16150462963,0.0
140,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C196,48d13m02.28s,8h13m36.048s,6,18.253611008,58806.193194444444,0.0
141,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C196,48d13m02.28s,8h13m36.048s,6,1.0737418239999998,58806.193194444444,0.0
142,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d12m30.24s,14h11m27.312s,6,18.253611008,58642.300983796296,0.0
143,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C196,48d13m02.28s,8h13m36.048s,6,0.0003495253333333333,58806.193194444444,0.0
